nsets,bsize,assoc,size,access_time_ns,cycle_time_ns,total_area_mm2,read_energy_nj,write_energy_nj,total_leakage_power_mw,data_area_efficiency_perc
64,32,1,2048,0.872010,1.463360,0.003018,0.005850,0.000000,0.089612,4.40
32,32,2,2048,0.843272,1.203610,0.010426,0.009382,0.012681,0.360478,1.04
16,32,4,2048,1.153950,1.740040,0.017340,0.014776,0.020839,0.635906,0.61
32,64,1,2048,0.872010,1.463360,0.002702,0.005697,0.000000,0.089612,4.40
16,64,2,2048,0.843272,1.203610,0.010114,0.009332,0.012681,0.358382,1.04
16,128,1,2048,0.872010,1.463360,0.002522,0.005677,0.000000,0.089612,4.40
